day,mjd,lon,lst,alt_km
2024-03-09,60378.04334908288,-35.893,22.6474,455.7
2024-03-14,60383.05224696667,-39.025,22.6523,455.9
2024-03-19,60388.06045424386,-41.906,22.6571,456.7
2024-03-29,60398.00925366672,-23.325,22.6669,459.2
2024-04-03,60403.01418445744,-25.019,22.6723,459.7
2024-04-08,60408.01867923221,-26.557,22.6776,461.1
2024-04-13,60413.02245786161,-27.837,22.6831,462.0
2024-04-18,60418.02552367216,-28.86,22.6885,463.0
2024-04-23,60423.026711040446,-29.199,22.6942,461.0
2024-04-28,60428.0265264994,-29.044,22.7001,459.6
2024-05-03,60433.02535240606,-28.531,22.7063,458.8
2024-05-08,60438.02294209012,-27.568,22.7127,456.1
2024-05-14,60444.057595279184,-39.927,22.7204,452.5
2024-05-19,60449.05244039008,-37.972,22.7269,450.0
2024-05-25,60455.01794208403,-25.428,22.7353,445.4
2024-05-30,60460.00965715932,-22.338,22.7424,442.9
2024-06-04,60465.00047431201,-18.924,22.7495,440.9
2024-06-09,60470.05500063799,-38.442,22.7572,439.0
2024-06-14,60475.043794545665,-34.294,22.7646,438.5
2024-06-19,60480.031078170396,-29.6,22.7725,437.2
2024-06-24,60485.0177158595,-24.672,22.7802,437.3
2024-06-29,60490.003415145155,-19.403,22.7884,437.5
2024-07-04,60495.0527802941,-37.053,22.7965,439.0
2024-07-09,60500.036006683076,-30.887,22.8047,438.8
2024-07-14,60505.018371474194,-24.412,22.8134,439.5
2024-07-19,60509.99989941844,-17.638,22.8217,440.5
2024-07-24,60515.04385147466,-33.321,22.8308,439.4
2024-07-29,60520.028607475935,-27.711,22.839,440.2
2024-08-03,60525.01315305228,-22.03,22.8469,438.6
2024-08-08,60530.25585540256,-109.271,22.8556,437.9
2024-08-13,60535.04337549415,-32.66,22.8635,435.9
2024-08-18,60540.60514693375,125.251,22.8734,435.0
2024-08-23,60545.647089242375,110.285,22.8823,433.2
2024-08-28,60550.17075271174,-78.11,22.8907,432.9
2024-09-02,60555.01594175032,-22.239,22.8999,432.3
2024-09-07,60560.052120104476,-35.114,22.9099,428.8
2024-09-12,60565.022160135224,-24.179,22.9197,428.2
2024-09-17,60570.0532006829,-35.193,22.9305,424.6
2024-09-22,60575.018036398615,-22.371,22.9414,422.8
2024-09-27,60580.04603395695,-32.286,22.9524,422.2
2024-10-02,60585.00626648187,-17.793,22.964,419.0
2024-10-07,60590.8646741992,33.389,22.9779,413.8
2024-10-12,60595.04661699096,-31.954,22.9883,412.1
2024-10-21,60604.04698903276,-31.733,23.012,407.7
2024-11-08,60622.27115713381,-111.639,23.0649,392.2
2024-11-13,60627.01091182941,-17.73,23.0797,391.1
2024-11-18,60632.003218170175,-14.712,23.0964,388.5
2024-11-23,60637.055756029826,-33.364,23.1138,384.0
2024-11-28,60642.68096804907,101.856,23.1335,382.8
2024-12-03,60647.021997300064,-20.675,23.1495,376.8
2024-12-08,60652.06261900949,-35.016,23.1684,374.8
2024-12-13,60657.03571657599,-25.04,23.1876,372.7
2024-12-18,60662.63961307493,117.904,23.2108,367.4
2024-12-23,60667.03021961294,-22.44,23.229,364.1
2024-12-28,60672.05135631254,-29.717,23.2514,356.2
2025-01-02,60677.70348059698,95.903,23.2769,353.7
2025-01-07,60682.01221456558,-14.928,23.2978,344.6
2025-01-12,60687.01412902863,-15.249,23.3223,339.8
2025-01-17,60692.008769124346,-12.924,23.3487,333.2
2025-01-24,60699.20098265576,-81.522,23.3885,317.9
2025-01-29,60704.17386578644,-71.32,23.4181,312.1
2025-02-03,60709.133156587064,-56.191,23.4495,299.7
2025-02-08,60714.014483884144,-12.972,23.4827,284.3
2025-02-13,60719.002366719855,-8.049,23.5201,266.3
